File,Model,Label,Accuracy,AUROC,AUPR,F1 Score
/content/11785-TCR/final_report/final_regular_lora_16/loginfo.log,final_regular_lora_16,XGB,0.7041,0.782,0.7769,0.7122
/content/11785-TCR/final_report/final_regular_lora_16/loginfo.log,final_regular_lora_16,XGB(SMI),0.7257,0.7985,0.7864,0.728
/content/11785-TCR/final_report/final_regular_lora_16/loginfo.log,final_regular_lora_16,MLP,0.7293,0.8016,0.7848,0.7313
/content/11785-TCR/final_report/final_regular_lora_16/loginfo.log,final_regular_lora_16,MLP(SMI),0.734,0.8064,0.7927,0.7341
/content/11785-TCR/final_report/final_regular_lora_16/loginfo.log,final_regular_lora_16,CNN,0.7321,0.8065,0.7959,0.7348
/content/11785-TCR/final_report/final_regular_lora_16/loginfo.log,final_regular_lora_16,CNN(SMI),0.7344,0.8099,0.7944,0.7431
/content/11785-TCR/final_report/final_clean_adapter_16/loginfo.log,final_clean_adapter_16,XGB,0.7164,0.7823,0.761,0.7134
/content/11785-TCR/final_report/final_clean_adapter_16/loginfo.log,final_clean_adapter_16,XGB(SMI),0.7232,0.7846,0.763,0.7218
/content/11785-TCR/final_report/final_clean_adapter_16/loginfo.log,final_clean_adapter_16,MLP,0.7238,0.7857,0.7656,0.7317
/content/11785-TCR/final_report/final_clean_adapter_16/loginfo.log,final_clean_adapter_16,MLP(SMI),0.7274,0.7843,0.7591,0.7325
/content/11785-TCR/final_report/final_clean_adapter_16/loginfo.log,final_clean_adapter_16,CNN,0.717,0.7807,0.7602,0.7014
/content/11785-TCR/final_report/final_clean_adapter_16/loginfo.log,final_clean_adapter_16,CNN(SMI),0.7283,0.7895,0.769,0.7265
/content/11785-TCR/final_report/final_clean_lora_33/loginfo.log,final_clean_lora_33,XGB,0.7293,0.8102,0.7934,0.7298
/content/11785-TCR/final_report/final_clean_lora_33/loginfo.log,final_clean_lora_33,XGB(SMI),0.7353,0.8152,0.7994,0.7374
/content/11785-TCR/final_report/final_clean_lora_33/loginfo.log,final_clean_lora_33,MLP,0.7391,0.8116,0.7934,0.7479
/content/11785-TCR/final_report/final_clean_lora_33/loginfo.log,final_clean_lora_33,MLP(SMI),0.7351,0.8068,0.7892,0.7386
/content/11785-TCR/final_report/final_clean_lora_33/loginfo.log,final_clean_lora_33,CNN,0.7331,0.8089,0.7914,0.731
/content/11785-TCR/final_report/final_clean_lora_33/loginfo.log,final_clean_lora_33,CNN(SMI),0.7427,0.816,0.7986,0.7368
/content/11785-TCR/final_report/final_clean_finetune_6/loginfo.log,final_clean_finetune_6,XGB,0.6732,0.729,0.6987,0.7033
/content/11785-TCR/final_report/final_clean_finetune_6/loginfo.log,final_clean_finetune_6,XGB(SMI),0.6793,0.7374,0.7073,0.7007
/content/11785-TCR/final_report/final_clean_finetune_6/loginfo.log,final_clean_finetune_6,MLP,0.6867,0.7459,0.7141,0.6894
/content/11785-TCR/final_report/final_clean_finetune_6/loginfo.log,final_clean_finetune_6,MLP(SMI),0.692,0.749,0.7181,0.6963
/content/11785-TCR/final_report/final_clean_finetune_6/loginfo.log,final_clean_finetune_6,CNN,0.6929,0.7438,0.708,0.7034
/content/11785-TCR/final_report/final_clean_finetune_6/loginfo.log,final_clean_finetune_6,CNN(SMI),0.6816,0.7473,0.7229,0.6617
/content/11785-TCR/final_report/final_regular_adapter_20/loginfo.log,final_regular_adapter_20,XGB,0.6594,0.7074,0.6744,0.5951
/content/11785-TCR/final_report/final_regular_adapter_20/loginfo.log,final_regular_adapter_20,XGB(SMI),0.6869,0.7344,0.7053,0.675
/content/11785-TCR/final_report/final_regular_adapter_20/loginfo.log,final_regular_adapter_20,MLP,0.6867,0.7416,0.7074,0.7066
/content/11785-TCR/final_report/final_regular_adapter_20/loginfo.log,final_regular_adapter_20,MLP(SMI),0.6884,0.7399,0.7069,0.6998
/content/11785-TCR/final_report/final_regular_adapter_20/loginfo.log,final_regular_adapter_20,CNN,0.691,0.7429,0.708,0.6887
/content/11785-TCR/final_report/final_regular_adapter_20/loginfo.log,final_regular_adapter_20,CNN(SMI),0.6848,0.7414,0.7075,0.6731
/content/11785-TCR/final_report/final_clean/loginfo.log,final_clean,XGB,0.6774,0.7443,0.7352,0.6952
/content/11785-TCR/final_report/final_clean/loginfo.log,final_clean,XGB(SMI),0.6918,0.755,0.7432,0.7065
/content/11785-TCR/final_report/final_clean/loginfo.log,final_clean,MLP,0.6984,0.7606,0.7464,0.6921
/content/11785-TCR/final_report/final_clean/loginfo.log,final_clean,MLP(SMI),0.7056,0.764,0.7466,0.7104
/content/11785-TCR/final_report/final_clean/loginfo.log,final_clean,CNN,0.6956,0.7493,0.728,0.7072
/content/11785-TCR/final_report/final_clean/loginfo.log,final_clean,CNN(SMI),0.695,0.7584,0.7426,0.7024
/content/11785-TCR/final_report/final_clean_finetune_4/loginfo.log,final_clean_finetune_4,XGB,0.7395,0.8127,0.7988,0.7398
/content/11785-TCR/final_report/final_clean_finetune_4/loginfo.log,final_clean_finetune_4,XGB(SMI),0.7442,0.8179,0.8023,0.7456
/content/11785-TCR/final_report/final_clean_finetune_4/loginfo.log,final_clean_finetune_4,MLP,0.7516,0.8205,0.7975,0.7565
/content/11785-TCR/final_report/final_clean_finetune_4/loginfo.log,final_clean_finetune_4,MLP(SMI),0.7531,0.8194,0.7952,0.7518
/content/11785-TCR/final_report/final_clean_finetune_4/loginfo.log,final_clean_finetune_4,CNN,0.7526,0.8216,0.8004,0.766
/content/11785-TCR/final_report/final_clean_finetune_4/loginfo.log,final_clean_finetune_4,CNN(SMI),0.7548,0.8265,0.8055,0.7556
/content/11785-TCR/final_report/final_regular_finetune_6/loginfo.log,final_regular_finetune_6,XGB,0.6585,0.6997,0.6585,0.5927
/content/11785-TCR/final_report/final_regular_finetune_6/loginfo.log,final_regular_finetune_6,XGB(SMI),0.6852,0.7316,0.7001,0.6777
/content/11785-TCR/final_report/final_regular_finetune_6/loginfo.log,final_regular_finetune_6,MLP,0.688,0.7388,0.7041,0.6928
/content/11785-TCR/final_report/final_regular_finetune_6/loginfo.log,final_regular_finetune_6,MLP(SMI),0.6872,0.7396,0.7053,0.7028
/content/11785-TCR/final_report/final_regular_finetune_6/loginfo.log,final_regular_finetune_6,CNN,0.6897,0.7443,0.7113,0.6785
/content/11785-TCR/final_report/final_regular_finetune_6/loginfo.log,final_regular_finetune_6,CNN(SMI),0.6874,0.7449,0.7083,0.7005
/content/11785-TCR/final_report/final_regular_adapter_16/loginfo.log,final_regular_adapter_16,XGB,0.673,0.736,0.7313,0.6549
/content/11785-TCR/final_report/final_regular_adapter_16/loginfo.log,final_regular_adapter_16,XGB(SMI),0.6859,0.7558,0.7453,0.6856
/content/11785-TCR/final_report/final_regular_adapter_16/loginfo.log,final_regular_adapter_16,MLP,0.7011,0.7622,0.7394,0.701
/content/11785-TCR/final_report/final_regular_adapter_16/loginfo.log,final_regular_adapter_16,MLP(SMI),0.7024,0.7614,0.738,0.7122
/content/11785-TCR/final_report/final_regular_adapter_16/loginfo.log,final_regular_adapter_16,CNN,0.7014,0.7685,0.7561,0.7054
/content/11785-TCR/final_report/final_regular_adapter_16/loginfo.log,final_regular_adapter_16,CNN(SMI),0.6948,0.7673,0.7528,0.7156
/content/11785-TCR/final_report/final_regular/loginfo.log,final_regular,XGB,0.667,0.7287,0.7219,0.6325
/content/11785-TCR/final_report/final_regular/loginfo.log,final_regular,XGB(SMI),0.6961,0.7525,0.7386,0.697
/content/11785-TCR/final_report/final_regular/loginfo.log,final_regular,MLP,0.6997,0.7588,0.7404,0.7132
/content/11785-TCR/final_report/final_regular/loginfo.log,final_regular,MLP(SMI),0.7001,0.7608,0.7404,0.7091
/content/11785-TCR/final_report/final_regular/loginfo.log,final_regular,CNN,0.7022,0.7636,0.7427,0.6922
/content/11785-TCR/final_report/final_regular/loginfo.log,final_regular,CNN(SMI),0.7094,0.7635,0.7453,0.7132
/content/11785-TCR/final_report/final_regular_adapter_12/loginfo.log,final_regular_adapter_12,XGB,0.6821,0.7462,0.7396,0.6739
/content/11785-TCR/final_report/final_regular_adapter_12/loginfo.log,final_regular_adapter_12,XGB(SMI),0.7007,0.7628,0.7475,0.6982
/content/11785-TCR/final_report/final_regular_adapter_12/loginfo.log,final_regular_adapter_12,MLP,0.7126,0.7696,0.7481,0.7284
/content/11785-TCR/final_report/final_regular_adapter_12/loginfo.log,final_regular_adapter_12,MLP(SMI),0.7009,0.7678,0.7541,0.692
/content/11785-TCR/final_report/final_regular_adapter_12/loginfo.log,final_regular_adapter_12,CNN,0.6944,0.7539,0.7284,0.6876
/content/11785-TCR/final_report/final_regular_adapter_12/loginfo.log,final_regular_adapter_12,CNN(SMI),0.7132,0.7753,0.7487,0.7188
/content/11785-TCR/final_report/final_regular_finetune_4/loginfo.log,final_regular_finetune_4,XGB,0.6971,0.7677,0.7668,0.6981
/content/11785-TCR/final_report/final_regular_finetune_4/loginfo.log,final_regular_finetune_4,XGB(SMI),0.7173,0.7833,0.7753,0.7194
/content/11785-TCR/final_report/final_regular_finetune_4/loginfo.log,final_regular_finetune_4,MLP,0.7223,0.7833,0.7716,0.7316
/content/11785-TCR/final_report/final_regular_finetune_4/loginfo.log,final_regular_finetune_4,MLP(SMI),0.7217,0.7842,0.7725,0.7299
/content/11785-TCR/final_report/final_regular_finetune_4/loginfo.log,final_regular_finetune_4,CNN,0.7268,0.794,0.7796,0.7279
/content/11785-TCR/final_report/final_regular_finetune_4/loginfo.log,final_regular_finetune_4,CNN(SMI),0.7281,0.7951,0.7767,0.7226
/content/11785-TCR/final_report/final_clean_adapter_12/loginfo.log,final_clean_adapter_12,XGB,0.7039,0.7712,0.7542,0.6977
/content/11785-TCR/final_report/final_clean_adapter_12/loginfo.log,final_clean_adapter_12,XGB(SMI),0.7136,0.7783,0.7567,0.7095
/content/11785-TCR/final_report/final_clean_adapter_12/loginfo.log,final_clean_adapter_12,MLP,0.713,0.7757,0.7566,0.7255
/content/11785-TCR/final_report/final_clean_adapter_12/loginfo.log,final_clean_adapter_12,MLP(SMI),0.7151,0.7748,0.7505,0.7205
/content/11785-TCR/final_report/final_clean_adapter_12/loginfo.log,final_clean_adapter_12,CNN,0.7143,0.7846,0.7631,0.7207
/content/11785-TCR/final_report/final_clean_adapter_12/loginfo.log,final_clean_adapter_12,CNN(SMI),0.7153,0.7826,0.7635,0.7289
/content/11785-TCR/final_report/final_clean_finetune_2/loginfo.log,final_clean_finetune_2,XGB,0.7346,0.815,0.8096,0.7408
/content/11785-TCR/final_report/final_clean_finetune_2/loginfo.log,final_clean_finetune_2,XGB(SMI),0.7444,0.8229,0.8147,0.7493
/content/11785-TCR/final_report/final_clean_finetune_2/loginfo.log,final_clean_finetune_2,MLP,0.7526,0.8145,0.7952,0.757
/content/11785-TCR/final_report/final_clean_finetune_2/loginfo.log,final_clean_finetune_2,MLP(SMI),0.751,0.8159,0.7989,0.7504
/content/11785-TCR/final_report/final_clean_finetune_2/loginfo.log,final_clean_finetune_2,CNN,0.7503,0.822,0.8062,0.7547
/content/11785-TCR/final_report/final_clean_finetune_2/loginfo.log,final_clean_finetune_2,CNN(SMI),0.7531,0.8251,0.8107,0.752
/content/11785-TCR/final_report/final_regular_finetune_2/loginfo.log,final_regular_finetune_2,XGB,0.7192,0.8012,0.8021,0.7231
/content/11785-TCR/final_report/final_regular_finetune_2/loginfo.log,final_regular_finetune_2,XGB(SMI),0.7338,0.8136,0.8128,0.7347
/content/11785-TCR/final_report/final_regular_finetune_2/loginfo.log,final_regular_finetune_2,MLP,0.7471,0.8124,0.8006,0.7559
/content/11785-TCR/final_report/final_regular_finetune_2/loginfo.log,final_regular_finetune_2,MLP(SMI),0.7393,0.8107,0.8039,0.7341
/content/11785-TCR/final_report/final_regular_finetune_2/loginfo.log,final_regular_finetune_2,CNN,0.7427,0.8177,0.8083,0.7517
/content/11785-TCR/final_report/final_regular_finetune_2/loginfo.log,final_regular_finetune_2,CNN(SMI),0.7465,0.8202,0.8123,0.7518
/content/11785-TCR/final_report/final_regular_lora_33/loginfo.log,final_regular_lora_33,XGB,0.7279,0.8002,0.7899,0.7405
/content/11785-TCR/final_report/final_regular_lora_33/loginfo.log,final_regular_lora_33,XGB(SMI),0.7353,0.8137,0.8036,0.7432
/content/11785-TCR/final_report/final_regular_lora_33/loginfo.log,final_regular_lora_33,MLP,0.7444,0.8181,0.8025,0.7561
/content/11785-TCR/final_report/final_regular_lora_33/loginfo.log,final_regular_lora_33,MLP(SMI),0.7431,0.8156,0.8002,0.7467
/content/11785-TCR/final_report/final_regular_lora_33/loginfo.log,final_regular_lora_33,CNN,0.7484,0.8203,0.8013,0.7438
/content/11785-TCR/final_report/final_regular_lora_33/loginfo.log,final_regular_lora_33,CNN(SMI),0.7516,0.8272,0.8119,0.7605
